seed,condition,method,selected_lambda,validation_mse,test_mse,coefficient_mse,truth_penalty_energy,estimate_penalty_energy
0,aligned_in_kernel,dstm_boundary,0.0,1.7450010971869638,1.82448534244555,0.02499663431673725,5.409193664393969e-18,0.8831146049930261
0,aligned_in_kernel,ridge,0.1,1.28071151144241,1.4345754972679996,0.018214873049392503,3.999999999999999,2.7945061015125408
0,aligned_in_kernel,isospectral_random,0.0,1.7450010971869638,1.82448534244555,0.02499663431673725,1.8106963860320346,1.7549944093347014
0,aligned_in_kernel,grid_laplacian,0.31622776601683794,1.4125024404483564,1.3656127816148118,0.01715118810512617,3.326223857249988,1.5674844955640086
0,isotropic,dstm_boundary,0.0,2.320478156830792,2.2826575462236915,0.03212981311230862,2.4258969292094426,2.5450403064452702
0,isotropic,ridge,0.1,2.019224305642661,1.904358926757296,0.025527789337367,4.0,2.5843374754694572
0,isotropic,isospectral_random,0.0,2.320478156830792,2.2826575462236915,0.03212981311230862,2.1505709381281726,2.0299293576660613
0,isotropic,grid_laplacian,0.0,2.320478156830792,2.2826575462236915,0.03212981311230862,4.324191852713142,4.010648576037043
0,permuted_misaligned,dstm_boundary,0.0,2.163680014023937,2.2436669754883156,0.032021002047745474,1.7060523906016631,2.061547152038596
0,permuted_misaligned,ridge,0.1,1.6614572645582735,1.6399769168142264,0.02170409644586655,3.999999999999999,2.9602988558015633
0,permuted_misaligned,isospectral_random,0.0,2.163680014023937,2.2436669754883156,0.032021002047745474,1.800839698985767,1.9257342871460787
0,permuted_misaligned,grid_laplacian,0.31622776601683794,2.0232320451326262,2.540965718142533,0.03480820230159953,3.502278931505278,1.423473781377922
1,aligned_in_kernel,dstm_boundary,1000.0,1.0929198655501262,1.0924474218111544,0.012819458447296131,-1.8804619660574518e-17,1.2604087689964871e-08
1,aligned_in_kernel,ridge,0.03162277660168379,1.6970527407267366,2.04979612112108,0.028343922878043295,4.0,3.0839797434062053
1,aligned_in_kernel,isospectral_random,0.0,1.8649645161653612,2.4534931227541397,0.034994326436278526,1.6369088837765036,1.7945967357896773
