seed,condition,method,selected_lambda,validation_mse,test_mse,coefficient_mse,truth_penalty_energy,estimate_penalty_energy
0,aligned_in_kernel,dstm_boundary,0.0,1.3155842310267043,1.458811798747333,0.019249332992732827,1.3522984160984922e-18,0.694631601308226
0,aligned_in_kernel,ridge,0.31622776601683794,0.6138165980703365,0.7505165021836886,0.007398398398408472,0.9999999999999998,0.5872758173710758
0,aligned_in_kernel,isospectral_random,0.0,1.3155842310267043,1.458811798747333,0.019249332992732827,0.45267409650800866,0.7249762903179923
0,aligned_in_kernel,grid_laplacian,1.0,0.6848456649907382,0.7386494713352956,0.007431949068312911,0.831555964312497,0.23736592959531724
0,isotropic,dstm_boundary,0.0,1.4870865946416203,1.578754805503654,0.021032627691625658,0.6064742323023606,1.1418616326403355
0,isotropic,ridge,0.31622776601683794,0.8245691753645246,0.8502489134275195,0.00880217142861778,1.0,0.5641779831078044
0,isotropic,isospectral_random,0.0,1.4870865946416203,1.578754805503654,0.021032627691625658,0.5376427345320431,0.836282145362458
0,isotropic,grid_laplacian,1.0,0.8515078121155479,0.981145392418894,0.0104928912576922,1.0810479631782854,0.236079724195398
0,permuted_misaligned,dstm_boundary,0.0,1.3697222444802053,1.5695801884369711,0.02100542492548487,0.4265130976504158,1.007637307875775
0,permuted_misaligned,ridge,0.31622776601683794,0.6728170035198904,0.7486977525539016,0.007290510909574826,0.9999999999999998,0.6466744673656226
0,permuted_misaligned,isospectral_random,0.0,1.3697222444802053,1.5695801884369711,0.02100542492548487,0.4502099247464417,0.84157407170949
0,permuted_misaligned,grid_laplacian,1.0,0.7551221507540062,0.9452676520578434,0.010421758391164092,0.8755697328763195,0.24133406119107542
1,aligned_in_kernel,dstm_boundary,1000.0,1.0929198655499617,1.0924474218112927,0.01281945844729754,-4.7011549151436296e-18,1.260408769830137e-08
1,aligned_in_kernel,ridge,0.31622776601683794,0.785453581211374,0.8001147389111509,0.00851128154252322,1.0,0.5430612338857943
1,aligned_in_kernel,isospectral_random,0.0,1.1200032832004152,1.3977457570062,0.018597938830718315,0.4092272209441259,0.7988276056617101
1,aligned_in_kernel,grid_laplacian,0.31622776601683794,1.0402644931743363,1.0597840169513533,0.012044065915353102,0.8607274291498728,0.36196133668719577
1,isotropic,dstm_boundary,0.0,1.3417547341289247,1.4529031845294806,0.019451344048997628,0.48150019312400155,0.5310735036624828
1,isotropic,ridge,0.31622776601683794,0.8539983476360983,0.8585041731732321,0.010000960617580263,1.0000000000000004,0.45759979664535466
1,isotropic,isospectral_random,0.0,1.3417547341289247,1.4529031845294806,0.019451344048997628,0.2818298299911718,0.6571141664382067
1,isotropic,grid_laplacian,0.31622776601683794,0.9108590632751745,1.0054200729339815,0.011846901248533125,1.0873062130095528,0.3873158941145577
1,permuted_misaligned,dstm_boundary,0.0,1.0555811351008197,1.192671216010736,0.01630958742794733,0.397179851788544,0.6321569146607935
1,permuted_misaligned,ridge,0.31622776601683794,0.5906873049039015,0.6574285424981109,0.006959858979161647,1.0,0.5636940137146859
1,permuted_misaligned,isospectral_random,0.0,1.0555811351008197,1.192671216010736,0.01630958742794733,0.3687665572240775,0.6965128158784691
1,permuted_misaligned,grid_laplacian,0.31622776601683794,0.6314679046452529,0.6549883510932379,0.006979678058063572,0.9297789199178516,0.4173235564241557
2,aligned_in_kernel,dstm_boundary,1000.0,0.6109070354886412,0.6656924153021311,0.006082462025676173,8.81006056014625e-19,6.262788993878344e-08
2,aligned_in_kernel,ridge,0.31622776601683794,0.8222350236505257,0.618994128649075,0.006524503715762306,1.0,0.6489499652484081
2,aligned_in_kernel,isospectral_random,0.0,1.3318189650245693,1.1939069265137845,0.014817577446901346,0.3761412195301521,0.79751202815124
2,aligned_in_kernel,grid_laplacian,1.0,0.9344766793305794,0.7459381881875184,0.00791771390196827,0.9087216162659114,0.24690923145029087
2,isotropic,dstm_boundary,0.0,1.2891032545033267,1.2112675205422554,0.015138321992040696,0.4743629554288843,0.9813797855845189
2,isotropic,ridge,0.31622776601683794,0.9287903071033048,0.7760149834151319,0.008081019981426282,1.0000000000000002,0.49966992726390697
2,isotropic,isospectral_random,0.0,1.2891032545033267,1.2112675205422554,0.015138321992040696,0.4626434335730672,0.6730901917906206
2,isotropic,grid_laplacian,0.31622776601683794,1.0259820742955195,0.8668649502415795,0.009683936057148599,1.0505605333635117,0.44768018766034395
2,permuted_misaligned,dstm_boundary,1000.0,1.1727129377399028,1.4765051801025382,0.017135968747217328,0.38697062605387167,5.117582134841842e-08
2,permuted_misaligned,ridge,0.31622776601683794,0.9307801078500737,0.9124201379223403,0.010115591916402005,1.0,0.39257985013737073
2,permuted_misaligned,isospectral_random,0.0,1.342400274939763,1.3608395678050247,0.01657008033287546,0.3379899771695555,0.46685160550345006
2,permuted_misaligned,grid_laplacian,1.0,1.105558861157805,1.127488151148219,0.013242999601646264,1.0669324426962647,0.13484630684274798
3,aligned_in_kernel,dstm_boundary,3.1622776601683795,0.7611509677485122,1.1383585033408505,0.013569120828420767,-1.306481298375175e-18,0.0012462032820734715
3,aligned_in_kernel,ridge,0.31622776601683794,0.7221547290932124,0.7496238759466323,0.007995939703606285,0.9999999999999998,0.5896920432355226
3,aligned_in_kernel,isospectral_random,0.0,1.497219462026441,1.7252994089460343,0.02507837008807889,0.6052526300040921,1.0211335347209056
3,aligned_in_kernel,grid_laplacian,1.0,0.8375582467525863,0.9537701308134277,0.011337497362241522,0.9862170373648821,0.2499614237607622
3,isotropic,dstm_boundary,0.0,1.3543906089805011,1.6622882059731827,0.023488323961684605,0.43340898389449123,0.7319006247044659
3,isotropic,ridge,0.31622776601683794,0.6454631137112223,0.7778349782638562,0.008123204572971682,1.0,0.5740064331429154
3,isotropic,isospectral_random,0.0,1.3543906089805011,1.6622882059731827,0.023488323961684605,0.3923847045248643,0.7833699715405705
3,isotropic,grid_laplacian,0.31622776601683794,0.6824975906621762,0.8968809082986997,0.009628297547909129,0.9789782299416591,0.46157054980196044
3,permuted_misaligned,dstm_boundary,0.0,1.4031692880250821,1.7514508478114421,0.023886847890592422,0.29489056407601444,0.8008975626919603
3,permuted_misaligned,ridge,0.31622776601683794,0.6783482219025442,0.7841244502010704,0.007784298955250285,0.9999999999999998,0.5994918264098272
3,permuted_misaligned,isospectral_random,0.0,1.4031692880250821,1.7514508478114421,0.023886847890592422,0.4965649598240246,0.9861570584905968
3,permuted_misaligned,grid_laplacian,1.0,0.8553371976996463,0.9721430586508499,0.01059061203331682,1.023996766265398,0.25246628986606384
4,aligned_in_kernel,dstm_boundary,1000.0,0.553884647189216,0.5779629957093031,0.005373120848136979,-4.383866996329297e-19,1.788646749643204e-08
4,aligned_in_kernel,ridge,0.1,0.745826326244563,0.643710508938562,0.006316711487200609,1.0,0.7560308683004526
4,aligned_in_kernel,isospectral_random,0.0,0.9816712913331689,0.868665716244427,0.01008993555225587,0.5870075363785696,0.6166080877929789
4,aligned_in_kernel,grid_laplacian,0.31622776601683794,0.6627693998826276,0.6111516115706284,0.005637997415799973,0.6938177953014277,0.34877571482506314
4,isotropic,dstm_boundary,0.0,0.9591625661856861,0.9430787543103663,0.01179963173099839,0.41410958090189254,0.4910873135803961
4,isotropic,ridge,0.31622776601683794,0.6492008576449637,0.7009604631963893,0.007727090926761984,1.0,0.41359370609701607
4,isotropic,isospectral_random,0.0,0.9591625661856861,0.9430787543103663,0.01179963173099839,0.3157193033959207,0.3327727708157201
4,isotropic,grid_laplacian,0.31622776601683794,0.781804996700253,0.783443357199345,0.009222789562554776,0.9007538607169494,0.31488467386384394
4,permuted_misaligned,dstm_boundary,0.0,1.1728823439250595,0.9259271321532905,0.011568556703000292,0.31103191102125083,0.3699786228481774
4,permuted_misaligned,ridge,0.31622776601683794,0.8073327962071859,0.649923392063172,0.006622636812503172,1.0,0.5595918886972053
