method,seed,learning_rate,weight_decay,strength,epochs,train_nll,validation_nll,validation_nll_auc,test_nll,test_accuracy,test_brier,corrupted_accuracy,boundary_ratio,balance_ratio,path_diamond_ratio,wall_seconds,candidate_index
grid_sobolev,2,0.3,0.0001,0.5,70,0.08194722218236675,0.16245991609258037,0.49708031191908314,0.14071214075522195,0.9638888888888889,0.05482039466170179,0.9361111111111111,1.0118262648523244,0.06471044952949709,0.1237164630056157,0.08613709899873356,2
grid_sobolev,0,0.3,0.0001,2.0,70,0.09979128630022707,0.18967146757344666,0.5018470405268325,0.13984886298766838,0.9638888888888889,0.05499010070889903,0.9472222222222222,1.0153794733450392,0.07597289922747888,0.1044458918943788,0.08988800099905347,3
grid_sobolev,1,0.3,0.0001,2.0,70,0.11996216268216252,0.18208190060790802,0.5739676320316012,0.1641014975328316,0.9611111111111111,0.06455161268162242,0.9333333333333333,0.974694533893332,0.07168583474795144,0.11979509987421662,0.08839501199690858,3
grid_sobolev,2,0.3,0.0001,2.0,70,0.12157934687937576,0.18264419177116242,0.5773068866088408,0.16399118686071348,0.9666666666666667,0.06493790486103533,0.9361111111111111,0.9761165179580849,0.07628704391781262,0.11940146324486298,0.09616097400066792,3
grid_sobolev,0,0.45,0.0001,0.5,70,0.03768557829352275,0.16051421956519796,0.3742760997700756,0.11453176860426333,0.975,0.039822010086727484,0.9527777777777777,1.0405448515227194,0.06993805963064796,0.1090239296093702,0.11123530300028506,4
grid_sobolev,1,0.45,0.0001,0.5,70,0.05532753283509455,0.1594712421218493,0.4280579771478284,0.14697561060644593,0.9666666666666667,0.052707957262500035,0.9416666666666667,1.0013089765029237,0.06504346238219637,0.12632596866456428,0.10445119799987879,4
grid_sobolev,2,0.45,0.0001,0.5,70,0.04903771974590886,0.15180207020345174,0.4238985370656558,0.13794397271738812,0.9638888888888889,0.05281427917040906,0.9444444444444444,1.0085925454398403,0.06945429104910818,0.12612860396411185,0.09999473099742318,4
grid_sobolev,0,0.45,0.0001,2.0,70,0.06287734658857261,0.1816957510537914,0.43216955212848585,0.12237735308337214,0.9777777777777777,0.04291575823153131,0.9583333333333334,1.001972065298534,0.08106483472162272,0.10523685817160496,0.08939866199943935,5
grid_sobolev,1,0.45,0.0001,2.0,70,0.08246033002829921,0.16739984920361153,0.4862243372349534,0.14752729420504357,0.9638888888888889,0.05530252884529333,0.9361111111111111,0.9604993085137016,0.07643333874746482,0.12193739728041682,0.09169305199975497,5
grid_sobolev,2,0.45,0.0001,2.0,70,0.08197259378810037,0.16898493371609766,0.4865348722784408,0.14207840403158223,0.9638888888888889,0.05374009483169708,0.9333333333333333,0.9692909748625411,0.08086527985059,0.12135560812233936,0.08967501599909156,5
architecture_balance,0,0.15,0.0001,0.0003,70,0.10946856687069118,0.18053652003864665,0.5220806077608886,0.14469644027469702,0.9638888888888889,0.05957387990333758,0.9444444444444444,1.0781446710268345,0.05196037730384658,0.10748158618452439,0.06312437599990517,0
architecture_balance,1,0.15,0.0001,0.0003,70,0.13175030803413523,0.18077967912653084,0.614983040784058,0.1683206573683599,0.9611111111111111,0.06713103138662703,0.9305555555555556,1.0493798527940947,0.050325802787383626,0.1203013957859975,0.06022735700025805,0
architecture_balance,2,0.15,0.0001,0.0003,70,0.12772288061927226,0.18575845201293198,0.6042612804346887,0.16519951906036054,0.9611111111111111,0.07144700253306582,0.9333333333333333,1.0421287041884977,0.055056083719701804,0.1180993859228263,0.07486155000151484,0
architecture_balance,0,0.15,0.0001,0.003,70,0.10887070774566572,0.17986789407898854,0.5216645397687484,0.14438279284484679,0.9638888888888889,0.05941320826904561,0.9444444444444444,1.0780981350786631,0.04390900320169691,0.10836539302707632,0.08117422000213992,1
architecture_balance,1,0.15,0.0001,0.003,70,0.13108550373377978,0.1801015730296948,0.6145997944685776,0.16760280599837232,0.9611111111111111,0.06672671463838831,0.9333333333333333,1.0508842399019431,0.04237561990974992,0.12129375895667949,0.08663617600177531,1
architecture_balance,2,0.15,0.0001,0.003,70,0.12708912409308648,0.18531044890193077,0.6039442818850175,0.1647270683156566,0.9638888888888889,0.07115259848733099,0.9333333333333333,1.0428684199922724,0.04590629655620441,0.11923540282945512,0.08695673600232112,1
architecture_balance,0,0.3,0.0001,0.0003,70,0.049335639835002186,0.1567687823271174,0.3973783416581525,0.11702000264147985,0.975,0.04273701975618709,0.9527777777777777,1.0681121196100105,0.05565151379240505,0.1102737661198263,0.09170812900265446,2
architecture_balance,1,0.3,0.0001,0.0003,70,0.06675885287738342,0.15333981258807375,0.45750525854679497,0.13966288365857954,0.9638888888888889,0.051616302491881406,0.9416666666666667,1.0368612021661945,0.05140873796805357,0.1251513025453579,0.07351180299883708,2
architecture_balance,2,0.3,0.0001,0.0003,70,0.060910914072633014,0.15404610706123545,0.46072660302445834,0.13138072432292228,0.9694444444444444,0.052393419766529586,0.9416666666666667,1.033859044429414,0.054418336702172526,0.12414076817517562,0.05983115200069733,2
architecture_balance,0,0.3,0.0001,0.003,70,0.0483679115472722,0.15407506198012572,0.3960642252309656,0.11629774831575226,0.975,0.04272594007929578,0.9527777777777777,1.0678392114315134,0.03299572992780111,0.11241267318909999,0.07509680800285423,3
architecture_balance,1,0.3,0.0001,0.003,70,0.0656319311062082,0.15215646448748985,0.456764774545093,0.13889273172924638,0.9638888888888889,0.05119436258957037,0.9416666666666667,1.0413816913071174,0.0306139154557256,0.1273222289265188,0.07893687600153498,3
architecture_balance,2,0.3,0.0001,0.003,70,0.05944329397446253,0.1527817689075167,0.46014400447799064,0.13033165414937037,0.9694444444444444,0.05205228201532891,0.9472222222222222,1.0377383911166547,0.030245890857845775,0.12645254885059132,0.07735149500149419,3
architecture_balance,0,0.45,0.0001,0.0003,70,0.02879979400190468,0.15312098199898527,0.3518516511335314,0.115662654237467,0.9694444444444444,0.040398685678746146,0.9555555555555556,1.0622534230017893,0.057626784574966894,0.11177062861628739,0.062031395002122736,4
architecture_balance,1,0.45,0.0001,0.0003,70,0.04148302336850585,0.15861524064003085,0.40412867318187456,0.1424168015755142,0.9694444444444444,0.05083401005520161,0.9416666666666667,1.0289694021315194,0.05238064805584044,0.1280644653039021,0.07879190100356936,4
architecture_balance,2,0.45,0.0001,0.0003,70,0.033379785986627074,0.14254598031026475,0.399515779709587,0.13548397230001216,0.9638888888888889,0.052906279175347425,0.9472222222222222,1.0316925502747496,0.05407701759561562,0.12738304383413032,0.08212852899669087,4
architecture_balance,0,0.45,0.0001,0.003,70,0.027695163491790704,0.1479906151301831,0.3490750414213302,0.11401462444751893,0.9694444444444444,0.04003573451133283,0.9527777777777777,1.061090925005528,0.02053405189079974,0.11486233423363522,0.08290205400044215,5
architecture_balance,1,0.45,0.0001,0.003,70,0.04004409169325538,0.15422589137750073,0.4021595445740565,0.14078812690457163,0.9694444444444444,0.04971363543693722,0.9388888888888889,1.0369617062265692,0.0204164228076293,0.13108851800083093,0.0871459660011169,5
architecture_balance,2,0.45,0.0001,0.003,70,0.031794452602816714,0.13828440937710554,0.3978868981279232,0.13392316370018745,0.9638888888888889,0.05271533042844633,0.9472222222222222,1.0373761517718225,0.01909038083772577,0.1304305181062934,0.0693234840000514,5
