method,seed,learning_rate,weight_decay,strength,epochs,train_nll,validation_nll,validation_nll_auc,test_nll,test_accuracy,test_brier,corrupted_accuracy,boundary_ratio,balance_ratio,path_diamond_ratio,wall_seconds,candidate_index
dstm_penalty,1,0.3,0.0001,0.003,70,0.07470135781011455,0.14990278465320608,0.4564573858270125,0.13831148212474464,0.9666666666666667,0.05036961412177638,0.9444444444444444,0.9079145904917582,0.05923910791174849,0.12630412792665927,0.18066788600117434,3
dstm_penalty,2,0.3,0.0001,0.003,70,0.0681634877431919,0.14450648704382135,0.4572722775313177,0.128106432594575,0.9694444444444444,0.0521141648569866,0.9444444444444444,0.910829144953326,0.060987529841907334,0.12459871964363889,0.17570597200028715,3
dstm_penalty,0,0.45,0.0001,0.0003,70,0.029951907485931527,0.1508383979702158,0.3506830757936211,0.11479373057555506,0.9694444444444444,0.04052852151166439,0.9555555555555556,1.0429360612083989,0.0643153250378697,0.11123123310482459,0.18107637900175177,4
dstm_penalty,1,0.45,0.0001,0.0003,70,0.04272596681668993,0.15717592815097423,0.40340164168386367,0.14107413257014817,0.9694444444444444,0.050506765072161404,0.9416666666666667,1.008905842207574,0.06028452525156729,0.12754901176106084,0.18202107899924158,4
dstm_penalty,2,0.45,0.0001,0.0003,70,0.034646665045467644,0.14086393833114402,0.39835538094655026,0.13314199109548505,0.9638888888888889,0.052048378865147356,0.9472222222222222,1.0125132204182412,0.06315598018360412,0.12659589392077697,0.20195758900081273,4
dstm_penalty,0,0.45,0.0001,0.003,70,0.04187290886818303,0.13426816206028142,0.3414947208600354,0.11006021276148314,0.9722222222222222,0.04033852515812834,0.9555555555555556,0.8633544220988693,0.06532735849180672,0.1128179180283083,0.17965444400033448,5
dstm_penalty,1,0.45,0.0001,0.003,70,0.054040523520666926,0.14979133396565159,0.39934762266122487,0.1346574663036579,0.9666666666666667,0.04721738736115955,0.9472222222222222,0.838833881847511,0.06812090504249807,0.12866033884142997,0.176185455002269,5
dstm_penalty,2,0.45,0.0001,0.003,70,0.04547808316926169,0.1255773550144169,0.3888061109268128,0.12046656657427353,0.9694444444444444,0.04875049793414033,0.95,0.8514840694120626,0.0677870337030548,0.12687634802999917,0.18189279100261047,5
matched_spectrum_penalty,0,0.15,0.0001,0.0003,70,0.11012372378990136,0.1804780097381981,0.5222843612566214,0.1447645284573811,0.9666666666666667,0.05950521308961907,0.9444444444444444,1.0779664675895124,0.052755426312745615,0.10743671538143933,0.1886695730026986,0
matched_spectrum_penalty,1,0.15,0.0001,0.0003,70,0.13238229300941382,0.1809051089324605,0.6152104994902621,0.1686416778468199,0.9611111111111111,0.06733433384116057,0.9305555555555556,1.0486335767743735,0.0511621684033263,0.1203174546983071,0.1968190140032675,0
