seed,split,epoch,train_loss,validation_loss,validation_accuracy,weight_norm,weight_gradient_norm,boundary_norm
4100,fit,0,2.3988183819888365,2.396365116780615,0.07242339832869081,0.37407752491122326,0.3347740001290724,0.4319574288290874
4100,fit,1,2.31686987375761,2.3163580385992706,0.11142061281337047,0.3780489453286254,0.31677635733956855,0.43402987104143265
4100,fit,2,2.182805771016504,2.1850771673679033,0.17827298050139276,0.40246384350349745,0.28705817466541605,0.4634537425266298
4100,fit,3,2.0328748787399036,2.0390935839260913,0.3147632311977716,0.45996056371577254,0.25672410940242385,0.5412229128885674
4100,fit,4,1.89828714036966,1.9106975840704954,0.4596100278551532,0.5464196905526626,0.23761600368926591,0.6606186404705195
4100,fit,5,1.7859851793349288,1.8027679075649738,0.5821727019498607,0.6492665876215522,0.22602979052394423,0.7999479846148139
4100,fit,6,1.6875601611261761,1.7069088183837167,0.6713091922005571,0.7588806176269783,0.21444491683767045,0.9432913255555886
4100,fit,7,1.5970140044780587,1.6176265901488105,0.6713091922005571,0.8699215331907345,0.2029203817216025,1.0827725701782158
4100,fit,8,1.5111568996692941,1.5322908980591763,0.6935933147632312,0.9794490212766214,0.1931380868546028,1.2148743039193344
4100,fit,9,1.4287860715098524,1.4501404091568741,0.724233983286908,1.085891932611935,0.18460732044869288,1.338131042685133
4100,fit,10,1.3495504243596133,1.3703462385388252,0.7437325905292479,1.188601842336757,0.1763442480131554,1.4520606404946772
4100,fit,11,1.2733904412960955,1.2929570859724866,0.7632311977715878,1.2874831396213289,0.16838713018547,1.5567220363583585
4100,fit,12,1.2004082554254802,1.2194243356679126,0.7688022284122563,1.3826750030839936,0.16102420215359203,1.6524254510869691
4100,fit,13,1.1308924857168332,1.1508476862702408,0.7855153203342619,1.474369456145696,0.15424448981690764,1.7395772090005686
4100,fit,14,1.064880216451986,1.0867149139435828,0.8022284122562674,1.5627371252236304,0.14790503128935634,1.8186501836098246
4100,fit,15,1.0023431229738575,1.0263290009723887,0.8189415041782729,1.6479186839596467,0.1417012052126914,1.8901925417271739
4100,fit,16,0.9432759815379149,0.9691854769894298,0.83008356545961,1.72998477512423,0.1353534234129366,1.954768285012886
4100,fit,17,0.8874147503052151,0.9150360693316005,0.8328690807799443,1.8089550747841152,0.12855206441751926,2.012983594992313
4100,fit,18,0.8346343336090675,0.8639533565189607,0.8384401114206128,1.8848409866961564,0.12120871384759441,2.0654961832290852
4100,fit,19,0.7849903926382974,0.8162056860480316,0.8495821727019499,1.957649097141304,0.11363076894581461,2.1129695904686994
4100,fit,20,0.7384346027296051,0.77188294121763,0.8635097493036211,2.02737284278504,0.10646052269612628,2.1560258069485827
4100,fit,21,0.6948131540623542,0.7307636345015615,0.871866295264624,2.094009540025616,0.10014807635619805,2.1952350988703215
4100,fit,22,0.6542124856661133,0.6926567426817637,0.883008356545961,2.1576137517809735,0.0940585019805631,2.231200455246406
4100,fit,23,0.6168355870457263,0.6575487904788766,0.8885793871866295,2.21831075840576,0.08745053971404657,2.2645781604227633
4100,fit,24,0.582876532302285,0.6257018620999002,0.8941504178272981,2.2762637406429995,0.08094200827037147,2.2959484868259312
4100,fit,25,0.5522071812549725,0.5972906177467108,0.8997214484679665,2.3316110105768826,0.07605587295019928,2.3256871643876815
4100,fit,26,0.524058334663108,0.5718658766795379,0.8997214484679665,2.3844145893799955,0.07235200508527513,2.353921479419998
4100,fit,27,0.49805896559878865,0.5487902972974431,0.9025069637883009,2.4347199090812817,0.06876239466734749,2.380701256624191
4100,fit,28,0.47388177660521896,0.5276789430148836,0.9052924791086351,2.482572126691632,0.06508434576155435,2.4060534871094172
4100,fit,29,0.4513472551336313,0.5082889073962622,0.9052924791086351,2.528030855545711,0.061597871549294456,2.4300174798122818
4100,fit,30,0.4305039984409367,0.4905073600029199,0.9108635097493036,2.5711796409934626,0.05869767114253509,2.4526175616568437
4100,fit,31,0.41136263164282494,0.47435502210743186,0.9136490250696379,2.612122401007082,0.056408338684285894,2.4738363839250943
4100,fit,32,0.39380632157938206,0.4598046193347411,0.9136490250696379,2.6509781331915336,0.05463017951775004,2.493639783094109
4100,fit,33,0.3775634494689276,0.446688684198222,0.9108635097493036,2.687872583261323,0.05306270324982876,2.5120330247283427
4100,fit,34,0.3623666071263098,0.43483334018778314,0.9136490250696379,2.7229345763429884,0.05139519403254323,2.5290754001942397
4100,fit,35,0.3480467880333177,0.42407906593508365,0.9136490250696379,2.7562946278597256,0.04959360076932334,2.544867494225046
4100,fit,36,0.33451266167668947,0.4142498616282013,0.9192200557103064,2.788084361009776,0.0477840895225808,2.5595385173133716
