task,model,alpha,tune_r2,heldout_r2,heldout_standardized_rmse,heldout_standardized_mae,feature_dimension,target_dimension,fit_rows,tune_rows,heldout_rows
future_train_loss,random_02,100.0,0.8726353769246638,0.9375850869096649,0.23460482953005576,0.1962679576171905,48,1,688,258,430
future_train_loss,random_03,100.0,0.8824927828809229,0.8199189604192201,0.3984985611844464,0.3274178874992342,48,1,688,258,430
future_train_loss,random_04,100.0,0.9008364355267606,0.9020904761512677,0.29383615498246823,0.25759388738294653,48,1,688,258,430
future_train_loss,random_05,100.0,0.8581725286463053,0.9035709800820886,0.29160612342568987,0.2288823303983755,48,1,688,258,430
future_train_loss,random_06,100.0,0.8699768848699638,0.9218927852618187,0.2624450215305117,0.21987692461201055,48,1,688,258,430
future_train_loss,random_07,100.0,0.6906553786410035,0.8767656215886234,0.3296542677469476,0.2891532993508373,48,1,688,258,430
future_train_loss,random_08,100.0,0.9445363709926552,0.9199486784558973,0.2656911056532064,0.21421550042954948,48,1,688,258,430
future_train_loss,random_09,100.0,0.625483448157653,0.9689519036626936,0.16546656518708894,0.13431215282636902,48,1,688,258,430
future_train_loss,random_10,100.0,0.7547005669802828,0.925523679957393,0.2562724187560291,0.2097750703868723,48,1,688,258,430
future_train_loss,random_11,100.0,0.8612116486145627,0.9438676226701768,0.2224843570940781,0.17837764221152447,48,1,688,258,430
future_train_loss,random_12,100.0,0.8711918250533902,0.9646576092373507,0.1765390256408579,0.14348036436847536,48,1,688,258,430
future_train_loss,random_13,100.0,0.8116632801341448,0.9216633477549514,0.26283020090693426,0.21395489903705273,48,1,688,258,430
future_train_loss,random_14,100.0,0.8723616474554947,0.8393120048489574,0.3764302180173205,0.34307610742708505,48,1,688,258,430
future_train_loss,random_15,100.0,0.8839645751186552,0.8873405453342487,0.31519301568377794,0.24403355009589306,48,1,688,258,430
future_validation_loss,baseline,1.0,0.9643980462975938,0.9735716878993594,0.15248793771045144,0.10000745086802487,3,1,688,258,430
future_validation_loss,dstm,100.0,0.7834829193235969,0.8491156921418767,0.3643533903120164,0.3039971912037807,48,1,688,258,430
future_validation_loss,random_00,100.0,0.7898004987327758,0.9275821347265018,0.25241992699036836,0.21424709443152573,48,1,688,258,430
future_validation_loss,random_01,100.0,0.6980829777471574,0.9495737934786487,0.21063421891027662,0.17106518845547264,48,1,688,258,430
future_validation_loss,random_02,100.0,0.8489764824851378,0.9326344413902724,0.24345558121737204,0.19706140875270672,48,1,688,258,430
future_validation_loss,random_03,100.0,0.8570616786632145,0.8007709584183915,0.4186750688020334,0.34217834429925703,48,1,688,258,430
future_validation_loss,random_04,100.0,0.887469136078545,0.8899703703722281,0.31113982494743975,0.26656775851162945,48,1,688,258,430
future_validation_loss,random_05,100.0,0.8178582240178408,0.8941044598388586,0.305238712119856,0.2380079597489799,48,1,688,258,430
future_validation_loss,random_06,100.0,0.8429022745294203,0.9248958432882597,0.2570589708892419,0.20815855718020082,48,1,688,258,430
future_validation_loss,random_07,1.0,0.7015923533738885,0.2172852518576226,0.8298556133154186,0.6546728300377093,48,1,688,258,430
future_validation_loss,random_08,100.0,0.9417140627950747,0.9090479744307862,0.2828830756814534,0.23010416939238287,48,1,688,258,430
future_validation_loss,random_09,100.0,0.530635575323716,0.9670707506658711,0.1702125949557915,0.13993309555716446,48,1,688,258,430
future_validation_loss,random_10,100.0,0.6928432584416182,0.9201936837738894,0.2649838525002834,0.21148106695769692,48,1,688,258,430
future_validation_loss,random_11,100.0,0.8280242601839869,0.935483729020037,0.23825136976103767,0.191753343319706,48,1,688,258,430
future_validation_loss,random_12,100.0,0.8334763715094518,0.9656053135540359,0.17395882068739918,0.14175970984111008,48,1,688,258,430
future_validation_loss,random_13,100.0,0.7872978009223066,0.9174389329439631,0.2695184039579948,0.22484761538796205,48,1,688,258,430
future_validation_loss,random_14,100.0,0.8541200348559967,0.8325097311714289,0.38388007175544336,0.3503900847485303,48,1,688,258,430
future_validation_loss,random_15,100.0,0.8783766271725226,0.8856866710501032,0.31713867951492003,0.2428695394844627,48,1,688,258,430
