seed,epoch,observer,component,base_loss,shadow_loss,loss_improvement,improvement_per_delta_norm,base_validation_loss,shadow_validation_loss,validation_loss_improvement,validation_improvement_per_delta_norm,component_norm,delta_norm
4111,0,dstm,visible,2.2787858318033285,2.2787089140214487,7.691778187979281e-05,0.21012628767642402,2.2606139743460085,2.260540405878174,7.356846783457271e-05,0.20097653180223005,0.2101397494881973,0.00036605501734385287
4111,0,dstm,null,2.2787858318033285,2.2787186711403797,6.7160662948762e-05,0.1834714995469514,2.2606139743460085,2.2605510565540636,6.291779194489422e-05,0.17188069815689086,0.1834857257691787,0.00036605501734385287
4111,0,random_00,visible,2.2787858318033285,2.2787142635248387,7.156827848975311e-05,0.19551235497074373,2.2606139743460085,2.2605496944436627,6.42799023458096e-05,0.17560175192306798,0.1955216455569739,0.00036605501734385287
4111,0,random_00,null,2.2787858318033285,2.2787129953788656,7.28364244628743e-05,0.19897671391416988,2.2606139743460085,2.260541425525966,7.2548820042595e-05,0.19819102759202573,0.19898997963389417,0.00036605501734385287
4111,0,random_01,visible,2.2787858318033285,2.278716045219645,6.978658368339552e-05,0.1906450680276885,2.2606139743460085,2.260545766398149,6.820794785955542e-05,0.18633250366155876,0.19065481477133878,0.00036605501734385287
4111,0,random_01,null,2.2787858318033285,2.2787112884609533,7.454334237522175e-05,0.20363972311080128,2.2606139743460085,2.260545231624914,6.874272109458346e-05,0.18779341311420997,0.20365772138691693,0.00036605501734385287
4111,0,random_02,visible,2.2787858318033285,2.278714146492648,7.168531068035833e-05,0.19583206699505748,2.2606139743460085,2.2605474908769017,6.648346910687053e-05,0.1816215212382117,0.19583905242860108,0.00036605501734385287
4111,0,random_02,null,2.2787858318033285,2.2787131105925043,7.272121082424476e-05,0.19866196986431217,2.2606139743460085,2.2605435865537156,7.038779229295855e-05,0.19228746761539386,0.19867760673984425,0.00036605501734385287
4111,0,random_03,visible,2.2787858318033285,2.278710181536358,7.56502669703174e-05,0.2066636526914628,2.2606139743460085,2.260542457197814,7.151714819464416e-05,0.19537267570755548,0.20667828330353316,0.00036605501734385287
4111,0,random_03,null,2.2787858318033285,2.278717245984768,6.858581856050705e-05,0.1873647820979903,2.2606139743460085,2.2605487399772786,6.523436872996058e-05,0.17820919162182344,0.18737612731271042,0.00036605501734385287
4111,0,random_04,visible,2.2787858318033285,2.278723675731164,6.215607216430996e-05,0.16979980937107006,2.2606139743460085,2.2605539621660338,6.00121799747555e-05,0.16394306082788426,0.16980989076638459,0.00036605501734385287
4111,0,random_04,null,2.2787858318033285,2.2787048155652063,8.101623812217795e-05,0.2213225725194078,2.2606139743460085,2.2605380108048196,7.596354118888371e-05,0.20751946453318942,0.22133758576869203,0.00036605501734385287
4111,0,random_05,visible,2.2787858318033285,2.2787100470224413,7.578478088721141e-05,0.2070311218163776,2.2606139743460085,2.2605389190843184,7.505526169016008e-05,0.20503819954380548,0.20704248267102984,0.00036605501734385287
4111,0,random_05,null,2.2787858318033285,2.2787173942696564,6.843753367213878e-05,0.1869596930230085,2.2606139743460085,2.2605526566680307,6.13176779777902e-05,0.16750945915922685,0.18697362446457758,0.00036605501734385287
4111,0,random_06,visible,2.2787858318033285,2.27871551810653,7.031369679832977e-05,0.19208505133609677,2.2606139743460085,2.260548162678454,6.581166755470491e-05,0.1797862737471643,0.1920973836235489,0.00036605501734385287
4111,0,random_06,null,2.2787858318033285,2.2787117851251875,7.40466781410376e-05,0.20228292096180187,2.2606139743460085,2.2605429796343937,7.099471161486903e-05,0.19394546789719405,0.20229760522801962,0.00036605501734385287
4111,0,random_07,visible,2.2787858318033285,2.2787147787238853,7.105307944321737e-05,0.19410491886926887,2.2606139743460085,2.2605444487472433,6.952559876527431e-05,0.1899321016544505,0.19411597646196327,0.00036605501734385287
4111,0,random_07,null,2.2787858318033285,2.278712492816903,7.333898642558623e-05,0.2003496276536361,2.2606139743460085,2.2605465539826723,6.742036333617918e-05,0.18418095680095004,0.20036145726716778,0.00036605501734385287
4111,0,random_08,visible,2.2787858318033285,2.2787125500138634,7.328178946508501e-05,0.2001933752932225,2.2606139743460085,2.260548724187146,6.525015886271746e-05,0.17825232757682674,0.20020394452926837,0.00036605501734385287
4111,0,random_08,null,2.2787858318033285,2.2787147202122253,7.1111591103179e-05,0.19426476276482915,2.2606139743460085,2.260542216344357,7.175800165137858e-05,0.1960306463549245,0.19427842512982807,0.00036605501734385287
4111,0,random_09,visible,2.2787858318033285,2.278719076108868,6.675569446068508e-05,0.18236519456849373,2.2606139743460085,2.2605542206533777,5.9753692630781785e-05,0.16323691740209725,0.1823736459435322,0.00036605501734385287
4111,0,random_09,null,2.2787858318033285,2.2787085607018205,7.727110150801408e-05,0.21109149676107203,2.2606139743460085,2.2605376758628664,7.629848314216758e-05,0.2084344689380307,0.21110561134481418,0.00036605501734385287
4111,0,random_10,visible,2.2787858318033285,2.2787200940987367,6.573770459183947e-05,0.179584219522086,2.2606139743460085,2.260550765142827,6.320920318136913e-05,0.17267678405291118,0.1795949166421543,0.00036605501734385287
4111,0,random_10,null,2.2787858318033285,2.2787076931128327,7.813869049577704e-05,0.2134616022005721,2.2606139743460085,2.2605406523963048,7.332194970377515e-05,0.2003030862295226,0.21347456942760704,0.00036605501734385287
4111,0,random_11,visible,2.2787858318033285,2.2787153289217463,7.050288158216844e-05,0.19260187196380302,2.2606139743460085,2.2605484068286055,6.556751740305344e-05,0.17911929709042276,0.19261141097575943,0.00036605501734385287
4111,0,random_11,null,2.2787858318033285,2.2787119638336697,7.386796965880293e-05,0.2017947198068733,2.2606139743460085,2.2605427408549073,7.123349110127464e-05,0.19459777281064183,0.20180825116414758,0.00036605501734385287
4111,0,random_12,visible,2.2787858318033285,2.2787162218370507,6.960996627780602e-05,0.19016257933822575,2.2606139743460085,2.260552215475524,6.17588704843186e-05,0.16871472199028914,0.19017498591762286,0.00036605501734385287
