seed,initial_train_loss,final_train_loss,final_validation_loss,final_validation_accuracy,final_test_loss,final_test_accuracy
4100,2.3988183819888365,0.09158853054440493,0.2625558339939595,0.9275766016713092,0.31622187362249143,0.9111111111111111
4101,2.338736670193092,0.07666964391102095,0.25585365195920556,0.9331476323119777,0.3044535685574449,0.9083333333333333
4102,2.3780768651498594,0.0827575175028522,0.2605894882724669,0.9331476323119777,0.311237144553498,0.9166666666666666
4103,2.3360199583817587,0.10620484106464977,0.31354853796539117,0.9136490250696379,0.3135994776422063,0.9111111111111111
4104,2.519670577838115,0.08100750910209327,0.26335720961217024,0.9303621169916435,0.2581930060523172,0.9333333333333333
4105,2.317070364862396,0.10227132298005012,0.30745903165806904,0.9164345403899722,0.24872269017278947,0.9305555555555556
4106,2.342652514968709,0.07595222982444637,0.2196700942105987,0.9303621169916435,0.23201844858396684,0.925
4107,2.5290773506263164,0.0920448198327238,0.25797204155815723,0.924791086350975,0.2451103423848529,0.925
4108,2.376701491593827,0.10087977050433845,0.3204584415542334,0.9136490250696379,0.38641933466293993,0.9
4109,2.3612967853374003,0.10586847260595336,0.2080539100446095,0.9498607242339833,0.2717570533000726,0.925
4110,2.4317272339216305,0.07959759463340943,0.32276970992084064,0.9052924791086351,0.3822250080941434,0.9111111111111111
4111,2.2787858318033285,0.08603570782004917,0.23809740722779754,0.9415041782729805,0.2891533802997134,0.9111111111111111
4112,2.479035375781609,0.13392983743766712,0.2959489733681108,0.9275766016713092,0.3379005243669997,0.8944444444444445
4113,2.3469273498895245,0.08774813401359763,0.3232999707680721,0.9136490250696379,0.3623846087297475,0.9083333333333333
4114,2.371953577876146,0.0985690213850444,0.3120676849801556,0.9108635097493036,0.3136109402775816,0.9194444444444444
4115,2.3582964615444597,0.11488949828470488,0.34864386200180814,0.9164345403899722,0.3601234846459982,0.9055555555555556
